applicants_id,age,gender,race,english_proficiency,highest_level_of_education,major_dept_college,college_gpa,essay_started_on,essay_completed_on,essay_time_taken,image_1,image_2,verify_started_on,verify_completed_on,verify_time_taken,deductive_reasoning_ability_general_population
41684620,34,Male,White,Native Fluent,Bachelor's Degree,Social Science,3.7 to 4.0,10/12/2015,10/12/2015,2928,"An African-American woman, wearing a purple dress and a blue wristwatch, is holding a clipboard while talking with a fellow coworker.  The coworker appears to be a white woman.  The coworker is running her hand through her dark brown hair.  She is wearing a black dress, an orange bracelet, and appears to be about to hand a piece of paper to the black coworker.  Behind the two women are two men.  The two men appear to be talking in front of a wall mounted TV.  One of the men is wearing a pink dress shirt, and tan slacks.  The other male is shorter, has red hair, and is wearing a blue dress shirt with darker tan slacks.  Both of the men are also wearing dark brown belts.  The four of them appear to be in a small conference, or meeting room.  All four appear to be in their 20s, or 30s.  The door to the room is completely wide open.  The hallway outside of the room appears to be painted in a dark tan kind of color.  The walls in the conference room all appear to be painted the same shade of pure bright white.  The lights in the room must be on, and are adaqueate, as it is very bright inside.","We see the back of the head of a woman as she looks on as three people paint a wall mural.  The woman has brunette hair.  She is holding in her left hand (the only hand we see) a red plastic cup that contains some blue paint, and a small minature representation on paper of what the wall mural should look like when the painting is complete.  The wall mural the three people are painting appears to be a bright, impressionistic type of represenation of the Milky Way Galaxy.  The galaxy is being painted on top of a dark blue background. The center of their Milky Way Galaxy is white, and surrounded by a ring of light purple.  This purple is surrounded by another ring of yellow paint.  There are further uneven circles of blue, light green, darker purple, pink, and dark red that expand out from the galaxy's center.  The wall the people are painting on appears to have two outlets.  The whites of the outlets are the only interruption in the dark blue that makes up the galaxy's background.  One of the three painting is a woman wearing a white baseball cap backwards.  She has a white t-shirt, black shirts, white shoes, and looks to be wearing a light blue glove in her painting hand.",10/12/2015,10/12/2015,1199,60.422135
41530390,34,Female,White,Native Fluent,Bachelor's Degree,Business,3.7 to 4.0,9/30/2015,9/30/2015,5594,"This photograph is looking into a computer room through a door that is being held open by a white woman in a black dress. Her back is up to the door and she is running her right hand through her hair. With her other hand, she is holding a small slip of paper. She is speaking to another woman, who is black and wearing a fushia colored dress. She is holding a clip board and on one arm she is wearing a watch with a blue wrist strap. Both women look engrossed in their conversation. There are two white men standing in the background having a conversation. One is wearing a pink dress shirt and khaki pants and the other is wearing a powder blue dress shirt and khaki pants. The monitor at the wall displays a brightly colored image, other monitors are visible, but they are pointed to the side so that the images they display cannot be seen. The front wall is a beige color with a metal doorframe around the door that is being held open. The wall within the room is white and the room is well lit. The door is heavy duty and has a long metal bar across it that is used to open it. ","This photograph features a woman holding a photo in her hand of a colorful image that resembles a galaxy, along with a red plastic cup containing blue paint. The photograph that she is holding has a dark colored background and circular galaxy image that cosists of yellows, blues, pinks, and purples. Behind the photograph, there are two people painting the image as a mural on a concrete wall. There is one person who is kneeling down on a canvas tarp. This person is mainly obstructed by the photograph that the woman is holding. But, the other person is standing up to the right of the photograph. This person is a woman, with blond hair and a khaki colored baseball cap on. She is wearing a white tee shirt and black shorts, along with sneakers. She has gloves on her hands and she is holding a red cup of paint also. The cinder block wall has been painted with a deep purple-blue color and the outline of the image has been sketched onto that suface. The painters are filling in each outline with its designated color. There is one electrical outlet on each side of the wall close to the baseboard. ",9/30/2015,9/30/2015,1278,48.367179
41536144,22,Female,White,Native Fluent,Completed Secondary School,I did not attend college,I did not attend college,9/30/2015,10/1/2015,67655,"Two groups of two people are inside what seems to be a business meeting room. The picture is taken from outside of the doorway. The two women are talking to each other, and the two men are talking to each other. Each person is wearing business clothing, and one of the women is holding a clipboard while the other is fixing her hair. The two men are somewhat hidden in the background. One of the women is African-American, while the rest of the people there are Caucasian. Both women have shoulder length hair, and both are wearing formal dresses. The black woman is wearing a purple dress, and the other is wearing a black dress. The two men in the background are keeping to themselves, and both are wearing kakhis. One man has a pink dress shirt, while the other has a blue dress shirt. Both are wearing brown belts. The women fixing her hair has an orange bracelet on that really stands out.","There is a group of what appears to be three women. Two of them are painting a large painting on a wall. The other woman is in the foreground holding a cup of paint, and she appears to be supervising. It looks like a school wall that is being painted on, while the teacher watches. they're painting a very colorful piece on the wall. The wall is covered in a dark blue paint, while they paint a colorful galaxy over top of it. The galaxy type shape consists of purple, blue, pink, yellow, and white in the center. There's a reference painting that the teacher is holding that they seem to be trying to copy into a larger scale wall painting. The two younger girls that are doing the painting are both wearing white t-shirts and black shorts. One of the girls is wearing a white hat backwards while she paints the white center of the galaxy shape thing. The other girls head is hidden behind the picture that the teacher is holding, because of the angle the picture was taken at.",10/1/2015,10/1/2015,1118,72.043122
41705082,35,Female,Black or African American;White,Native Fluent,Master's Degree,Social Science,3.7 to 4.0,10/13/2015,10/14/2015,27049,"This seems to be an office setting. There are two women and two men. We are witnessing the scene through and open doorway. There is a flat screen tv on the wall in the background. The walls of the room look white. Eveything in the background is slightly blurry as the focus is on the four people. One of the women, who is white has a black dress with an orange band around her wrist.  The other woman, who is black,  has a purple dress on. She has a blue watch. She also has and orange band. I am assuming this is probably some sort of event, maybe political in nature. The black lady has a clip board she is holding against her chest as she grasps of her fingers in her free hand. She may be counting the points she is trying to make to the lady in the black dress. The two males are farther back from the doorway and are talking to one another. Both are wearing light brown dress pants. One has a light pinkish shirt while the other has a light blue.","There are three people in this picture. They all look like they are female. Two of them are wearing dark shorts and have white t-shirts on. Those two are in the process of painting what looks like either a hurricane or a galaxy on a wall. The other person is holding up a picture of what they are attempting to paint. We can only see the back of the head of the person with the picture. She is holding a red plastic cup with blue paint in the same hand as the picture. There seems to be sheet on the floor to protect against paint spillage. One of the girls is crouching so she is obscured by the picture being held due to the perspective of the picture we are looking at. The hurricane painting on the wall looks like it was first outlined, with silver or grey paint. The girls are in the process of filling it in. The center/eye is white, then is expanding outward, the colors are purple, orange, then blue, greenish blue, with a bit of pink mixed in. The outer layer is purple again. The wall  that it is being painted on looks to be a very dark blue.",10/14/2015,10/14/2015,1343,68.33797
41751336,58,Female,White,Native Fluent,Completed Secondary School,I did not attend college,I did not attend college,10/16/2015,10/17/2015,70030,"Four people are in a room.  I can see them through a doorway.  It appears to be two women talking to each other and two men conversing with each other.  Since they have their backs to each other, this is not a group discussion but two individual pairs.  One woman appears to be on her way out the door, because she seems to be partially blocking the entranceway.  

All four participants appear to be in a professional setting.  All are in professional attire and one woman has a clipboard but has it against her chest and doesn't appear to be using it in the conversation.  The other woman has a bright orange wrist band that may possibly be a bracelet & has what appears to be a small piece of paper in the other hand.  I can't see if the men have anything in their hands, because they either have their backs to me or are blocked by the women that are in the forefront of the picture.

It appears to have at least one or more video screens high up the wall in the background but it is hard to see inside the room with the doors and participants blocking the view of the room.  One video screen is brightly colored in blue and pink colors but I can't make out any picture on the screen.  The door and walls appear to be panels rather than fixed walls, the type of panels found in office cubicles.  ","This picture has a person (possibly a man) in a side profile wearing blue shorts and a light yellow or tan Tshirt and a tan baseball type cap on backwards.  This person is recreating a mural on the back wall which has a dark blue (or black) background.  There also appears to be two outlets in tan on either side of the mural.  The floor appears to have a tan drop cloth.  The mural appears to be an abstract galaxy with colors swirling in an offset eye shaped pattern.  The center of the &quot;eye&quot; is white with mauve encircling the white &quot;eye&quot; with four whirling rays giving the sense of motion on a background of egg yolk colored yellow.  Beyond the yellow, are slim patches of concentric colors of various blues, purples & a hot pink.  These areas surround the main &quot;eye&quot; giving the painting a feel of hurricane like movement.

In the forefront of the picture, I see almost a dark black shadow of a person but in their hand (which is clearly shown) is a red plastic cup of baby blue paint that appears to have been used in the painting and a used brush with the same blue paint appears beyond the shadow.  I assume it is being held by the shadow person.  Also it appears that the visible hand, behind the red cup, is holding a picture of what is to be recreated on the wall.  There is a strange sense of duality with the two pictures in the picture.  The wall mural doesn't seem to be an exact copy of the picture but the colors & movement seem a fairly good replication.  The small &quot;original&quot; picture seems to have more of an angular slant to it but the wall mural appears to be still in process and it may be more like the original in the final product.

Almost hidden at the bottom of the picture and behind the &quot;original&quot; picture is a worker sitting on their knees with the same clothing as the standing painter, but the head, shoulders are obliterated by the held picture.  I assume this is a woman due to the wider hips, but it may be a man.

 ",10/17/2015,10/17/2015,1916,23.753441
41755703,50,Female,White,Native Fluent,Completed technical/associate degree/certificate/diploma,Arts,3.7 to 4.0,10/17/2015,10/17/2015,2745,"Two men and two women are leaving a business meeting. The two men are speaking to each other and the two women are doing the same. The men appear to be having a casual conversation. Both men are white. The men appear friendly towards each other, but their body language is very closed off. The women seem to be discussing business and/or sharing their understanding of the meeting. The men do not appear as serious as the women. One woman is white and one woman is Black. The Black woman is holding a clipboard and apparently itemizing things on her hand. The white woman has a slip of paper in her hand with which she is gesturing. The white woman is also running her fingers through her hair and although her face is not visible, she appears slightly agitated. The Black woman appears attentive to the other woman, but her facial expression indicates possible annoyance or boredom. The Black woman has closed body language like the men and appears to be using the clipboard as a shield or barrier. The white woman has poor posture and her body language is slightly aggressive. The picture represents what one owould expect to occur just after a meeting in which opinions were exchanged and not necessarily agreed upon.","There are three people painting a mural on a wall. A person in the foreground is holding a picture that appears to be what the finished product should look like. The main wall is navy blue and the design is abstract, possibly representing a galaxy. The mural sections have been traced onto the wall and the painters are filling in the proper colors of purple, yellow, white, light blue, gray and pink. There is a cloth protecting the floor as the painters work. All of the subjects appear to be of college age and are dressed casually. The girl holding the picture appears to be supervising her peers as they work and is holding a red cup of paint. The picture depicts what I would describe as a service group project at a University.",10/17/2015,10/17/2015,946,53.017422
41530393,25,Female,Asian,Native Fluent,Some College (2 years or less),Computer Science,3.3 to 3.7,9/30/2015,9/30/2015,3508,"A woman with brown skin and shoulder-length hair, wearing a bright and lively purple dress, is holding a clipboard in her arms while looking to her right. She doesn't have any emotion on her face. The clipboard is brown with a silver clip at the top and is placed between her arm and her body. The woman's hands are held up and she's wearing a ring as well as a blue watch with a white rim. Near her, another woman in a black dress is standing. She's wearing an orange watch and has her right arm in the air, her hand brushing through her shoulder-length hair. Her other hand, the left hand, is halfway up, near her stomach, with a slip of paper or card between her index and middle fingers. The paper is directed towards the woman in the purple dress. The woman is also facing towards the other woman in a purple dress so we cannot see her face. Behind them, a man in a light pink shirt is standing there with his back faced to the women. His head is tiled toward his right shoulder as he's looking to a shorter man in a blue shirt. In the background of all the people, there's a wall-mounted screen with graphics on it. The screen is showing colors like blue, purple, white, and red.","The picture shows a woman with blonde hair painting a large pic on a brick wall. The background of the painting has a dark purple color. The colors get increasingly lighter and brighter as it reaches the center. It looks like the top of a tornado as the colors swirl together. At the very center, there is a circular shape that is a pale yellow to white color. Surrounding it, a light purple color is used. Instead of being circular, it has three to four extensions of the paint in curved lines extending onto a bright yellow color. Around the yellow are more colors such as blue, light blue, a pastel-like pink, and purple. There's also another person in a white shirt painting the picture while kneeling down. His or her head and shoulders are blocked by a piece of paper however. This piece of paper features the excat same painting the two painters are painting on the wall. The paper is being held in a person's left hand while she is also holding a cup with light blue paint. We can only see her land hand and a bit of her hair and shoulder but not much else. She is standing in front of the photo but behind the two painters. ",9/30/2015,9/30/2015,3394,57.727725
41700102,29,Male,White,Native Fluent,Completed Secondary School,I did not attend college,I did not attend college,10/13/2015,10/13/2015,3301,"There are four people standing in what looks like an office. There are two women speaking to each other in the front of the picture and there are two men speaking to each other in the background. It is unclear what they are speaking about. One of the women is holding a clipboard which may imply that she is in charge of something. The woman with the clipboard is wearing a purple dress and has a blue watch on as well as a couple of rings. Her body language seems to suggest that she does not like what the other woman is saying to her. The other woman is wearing all black with what looks like an orange bracelet and she seems to be trying to explain something to the woman with the clipboard. The men appear to be young, white men and they are both dressed in similar outfits. It is difficult to say what type of conversation they are having. One of them has a smile on their face while the other has a more serious look. These four people may belong to the same group or maybe this is some type of meeting space in the building they work at.","Two people are facing a wall and painting some sort of large and colorful mural. They have sheets on the floor to avoid making a mess and that makes it a little more difficult to tell what type of room they are in. One of these people is a blonde woman and she is wearing a backwards hat. The other person is blocked from view because of a third person holding up a picture of what the finished product should look like. It looks a little like a galaxy made up of yellow, purple, blue, and orange colors. The person holding the picture has long, brown hair and she is also holding a cup of water that I assume is being used to clean the brushes. It is unclear if she is participating in the painting or if she is just watching. They are making good progress on the mural and it is beginning to look a lot like it does in the picture. They have some more blank spots that they need to fill in with color but it's almost complete. There is something that is leaning against the wall in the bottom right corner that looks like it could be a painting. I see some shades of green and blue and it looks a little like a landscape but it is hard to tell.",10/13/2015,10/13/2015,1040,59.467339
41406336,34,Female,White,Native Fluent,Bachelor's Degree,Social Science,3.7 to 4.0,9/21/2015,9/21/2015,2040,"The scene in this picture appears to be an office setting. There are four people in the room - two women, and two men. The two women are interacting with each other. One of them is holding a clipboard, and appears to be evaluating the other woman she's talking with in some informal way. The other woman appears to be a bit nervous. She's playing with her hair, and while her facial expression is not visible, I'd describe her as somewhat uncomfortable. The two men in the background appear to be discussing something work-related. Both appear to have serious expressions on their faces - not too serious, as if something were wrong, but clearly focused on the task at hand. It's hard to see into the background of the room, but it appears that they may be preparing for some kind of meeting. There's a screen of some sort from a monitor or TV visible in the background. It may be that all these people work together as part of a specific team, or it may be that they're part of two different groups coming together. It's clear that they're in the process of collaborating on something. It's difficult to tell how well they'll work together.","This picture is of an artist working on a mural. The mural is on a wall. It's difficult to tell where the wall is located - it could be in a business of some sort. It's likely in an indoor area, based on the lighting at the location. In the foreground of the picture, there is someone standing there - you can see their hair is visible, as well as one of their hands. They are holding a red cup in their hand that appears to be splattered with paint. They also appear to be holding a picture of the mural that is being painted on the wall. The wall is a dark navy blue color, and appears to be made of large blocks/bricks. The mural itself is interesting. It most closely resembles a galaxy (such as the kind found out in space), specifically a spiral galaxy. The color choices, however, are not traditional for the given subject. The artist is using a palatte of pastel colors - pale purple, pale blues of varying shades, a cream color, a pale pink, and then a really bright yellow color. The floor underneath the mural is covered with a drop cloth to prevent paint from spilling on the floor. There also appears to be two other people working on the mural as well, but they're hidden behind the cup and the picture of what is being painted.",9/21/2015,9/21/2015,874,59.530588
41477856,27,Female,White,Native Fluent,Bachelor's Degree,Social Science,3.7 to 4.0,9/25/2015,9/25/2015,1640,"This picture depicts two women talking. There is a woman in a purple dress who is holding a clipboard and facing a woman in a black shirt. She is not currently speaking. Her body language and facial expression suggest that she is listening to the other woman. The other woman is wearing a black dress and is running her hand through her hair. She has an orange bracelet on her right wrist. It looks like a hospital bracelet. In the background of the picture, two men are talking. One man is wearing a light pink button down shirt with khakis. The other man is wearing a blue button down shirt with khakis. Both men have their arms folded over their chests.","A group of three people are painting a mural. They are all wearing white shirts, black shorts and sneakers. The mural is being painted on a block wall. It is abstract in design. It has a navy blue background. The main part of the mural is a multicolored galaxy-like swirl in the center of the wall. It looks like the Milky Way Galaxy and is purple, light blue, pink and yellow. It is a cream color at the very center. In the foreground of the picture, a woman is holding up a picture of what the finished mural will look like. She is also holding a red solo cup in her left hand. The inside of the cup is covered in blue paint. ",9/25/2015,9/25/2015,693,63.713439
